id	object_type	command
PEDAGAT107_rm	rxn	id:PDAGATpc43_rm
PEDAGAT108_rm	rxn	id:PDAGATpc44_rm
PEDAGAT109_rm	rxn	id:PDAGATpc45_rm
PEDAGAT110_rm	rxn	id:PDAGATpc46_rm
PEDAGAT111_rm	rxn	id:PDAGATpc47_rm
PEDAGAT112_rm	rxn	id:PDAGATpc48_rm
PEDAGAT113_rm	rxn	id:PDAGATpc49_rm
PEDAGAT114_rm	rxn	id:PDAGATpc50_rm
PEDAGAT115_rm	rxn	id:PDAGATpc51_rm
PEDAGAT116_rm	rxn	id:PDAGATpc52_rm
PEDAGAT117_rm	rxn	id:PDAGATpc53_rm
PEDAGAT118_rm	rxn	id:PDAGATpc54_rm
PEDAGAT119_rm	rxn	id:PDAGATpc55_rm
PEDAGAT120_rm	rxn	id:PDAGATpc56_rm
PEDAGAT121_rm	rxn	id:PDAGATpc57_rm
PEDAGAT122_rm	rxn	id:PDAGATpc58_rm
PEDAGAT123_rm	rxn	id:PDAGATpc59_rm
PEDAGAT124_rm	rxn	id:PDAGATpc60_rm
PEDAGAT125_rm	rxn	id:PDAGATpc61_rm
PEDAGAT126_rm	rxn	id:PDAGATpc62_rm
PEDAGAT127_rm	rxn	id:PDAGATpc63_rm
PEDAGAT128_rm	rxn	id:PDAGATpc64_rm
3DH5HPBt_m	rxn	id:3DH5HPBt_c_m
3MOPt_m	rxn	id:3MOPt_c_m
AKGMALt_e	rxn	id:AKGMALt_c_e
RIBFLVt_e	rxn	id:RIBFLVt_c_e
DAG160161t_rm	rxn	id:DAG160161t_c_rm
DAG161t_rm	rxn	id:DAG161t_c_rm
DAG180161t_rm	rxn	id:DAG180161t_c_rm
DAG181161t_rm	rxn	id:DAG181161t_c_rm
DAG160181t_rm	rxn	id:DAG160181t_c_rm
DAG161181t_rm	rxn	id:DAG161181t_c_rm
DAG180181t_rm	rxn	id:DAG180181t_c_rm
DAG181t_rm	rxn	id:DAG181t_c_rm
PAIL160161t_rm	rxn	id:PAIL160161t_c_rm
PAIL161t_rm	rxn	id:PAIL161t_c_rm
PAIL180161t_rm	rxn	id:PAIL180161t_c_rm
PAIL181161t_rm	rxn	id:PAIL181161t_c_rm
PAIL160181t_rm	rxn	id:PAIL160181t_c_rm
PAIL161181t_rm	rxn	id:PAIL161181t_c_rm
PAIL180181t_rm	rxn	id:PAIL180181t_c_rm
PAIL181t_rm	rxn	id:PAIL181t_c_rm
DAG160161t_l	rxn	id:DAG160161t_c_l
DAG161t_l	rxn	id:DAG161t_c_l
DAG180161t_l	rxn	id:DAG180161t_c_l
DAG181161t_l	rxn	id:DAG181161t_c_l
DAG160181t_l	rxn	id:DAG160181t_c_l
DAG161181t_l	rxn	id:DAG161181t_c_l
DAG180181t_l	rxn	id:DAG180181t_c_l
DAG181t_l	rxn	id:DAG181t_c_l
PAIL45P160161t_en	rxn	id:PAIL45P160161t_c_en
PAIL45P161t_en	rxn	id:PAIL45P161t_c_en
PAIL45P180161t_en	rxn	id:PAIL45P180161t_c_en
PAIL45P181161t_en	rxn	id:PAIL45P181161t_c_en
PAIL45P160181t_en	rxn	id:PAIL45P160181t_c_en
PAIL45P161181t_en	rxn	id:PAIL45P161181t_c_en
PAIL45P180181t_en	rxn	id:PAIL45P180181t_c_en
PAIL45P181t_en	rxn	id:PAIL45P181t_c_en
PAIL4P160161t_en	rxn	id:PAIL4P160161t_c_en
PAIL4P161t_en	rxn	id:PAIL4P161t_c_en
